,desc,plus_rev,minus_rev,comment_rev
548," Prius, 2012 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Экономчная ,"Низкая, отсутствует шумоизоляция ",
549," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Приус - обалденное авто. Экономичный и надежный, красивый и практичный. Ни раз не пожалел, что был хозяином такого надежного железного друга.",их нет,Масло немного ест. надо следить 
550," Prius, 2007 год, 1500 куб. см., Бензин, Автомат, Передний привод ",экономичный  ,их нет,не было
551," Prius, 2010 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Минимальный расход топлива,Для меня крышка багожника.,Не было
552," Prius, 1998 год, 1500 куб. см., Бензин, Автомат, Передний привод ","малый расход, дешевые запчасти, надежность",одна проблема - ВВБ. Ремонт каждые 50-70 тысяч км,
553," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Экономичный,Низкий,
554," Prius, 2010 год, 1800 куб. см., Бензин, Автомат, Передний привод ","надежный
управляемый
экономичный","шумоизоляция
дребезжащий пластик ","только от внешнего воздействия:
камни в стекло
неаккуратные водители
руки не из того места
лень изучать мат.часть."
555," Prius, 2013 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Расход, вместительный","Клиренс всего 14, необходима установка проставок",Не возникло
556," Prius, 2009 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Экономичный, неприхотливый, удобный. Не дорог в обслуживании. За 6 лет пользования подводил только егр и 12ти вольтовый аккумулятор. ",Низкая. Маленький клиренс. Дешевый пластик в салоне иногда противно скрипит. ,Пришлось ремонтировать ЕГР (верней глушить) 
557," Prius, 2012 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Отличный,экономичный,просторный,резвый, авто, и.т.д.",нет,
558," Prius, 2016 год, 1800 куб. см., Гибрид, Автомат, Передний привод, S touring selection ","- Расход 4 литра в городе
- Независимая подвеска сзади
- Улучшенная звукоизоляция в салоне по сравнению с предыдущим поколением","- Небольшой клиренс
- Вибрация в салоне",Надежный автомобиль
559," Prius, 2011 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Надежный,Нет минусов,3.5 года отьездили меняли только масло и фильтра.
560," Prius, 2009 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Очень экономичный, салон большой ","Сиденье водителя неудобное, слабый свет фар",Не было 
561," Prius, 2012 год, 1800 куб. см., Бензин, Автомат, Передний привод ",два года без проблем,рейка рулевая,небыло
562," Prius, 2010 год, 1500 куб. см., Бензин, Автомат, Передний привод, 1.5 ","Отличный автомобиль, экономичный.",,
563," Prius, 2015 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Низкий расход топлива, высокая надежность , качество сборки. И ещё огромное количество других плюсов.",Низкий клиренс,Ничего
564," Prius, 2012 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Не большой расход топлива,за 2 года в России проблем не возникало,ходовка даже на 17х шинах в идеале ,достаточно не плохой звук-даже в стоке!На трассе достаточно устойчив,в повороты входит нормально,особенно на низком профиле.","Шумоизаляция не какая,скрибы в багажнике утомляют.По бездорожью-кажется что вот вот что то отвалится.Тяжело идёт на разгон!","За 2 года менял масло и расходники,проблем по авто не возникало "
565," Prius, 2014 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Экономия,,Обсолютно ничего
566," Prius, 2000 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Экономичный, резвый на обгон. Легкий запуск в любой мороз.",Зимой долго ждать пока прогреется.,"На 200000 заклинила помпа охлаждения инвертора. Больше, кроме ходовки,  ничего существенного не ломалось."
567," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Экономичность, комфорт, безопасность",Нет,Нет
568," Prius, 2009 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Экономия бензина.заволиться в марозы.,Зимой очень холодный...печка отвратительная..потеет лобовое....двигатель ест масло.....,Кислородный датчик нижний_( болезнь)
569," Prius, 2010 год, 1800 куб. см., Бензин, Автомат, Передний привод ",..в целом хороший авто,пластик не очень...плюс жестковатая подвеска,передняя правая стойка пришлось заменить на 170 000
570," Prius, 2006 год, 1500 куб. см., Бензин, Автомат, Передний привод ",очень надежный. Комфортный и экономичный,Движок поджирает масло,Как таковых поломок не было. Менялись запчасти по мере их естественного износа.
571," Prius, 2007 год, Бензин, Автомат, Передний привод, S ","Низкий расход, хорошая управляемость, вместительный,-38 заводиться без проблем.","Низкий клиренс-вылечили проставкам,масложор, рулевая рейка,гремит как погремушка,очень шумная.","Рулевая рейка-160000
после попытки завести машину в -43,начался масложор."
572," Prius, 2006 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Лучший авто для города! Других просто не знаю. Может быть Тесла? Но там совсем другая цена…
В общем, оказалось, что Тойота Приус - это не только рациональный выбор многоресурсного, надёжного и не прихотливого автомобиля, который мало расходует топлива. Это ещё и комфорт! Комфорт не только в том, что автомобиль всегда в строю и сервис-центр посещаешь только для замены расходников. А комфорт в движении. У автомобиля достаточно мягкая подвеска, он весьма просторный, ну а места для задних пассажиров и вовсе по-настоящему много. Как и все тойоты имеет приятную управляемость.
А самым неожиданным оказалась динамика! Благодаря работе сразу 2-х двигателей - бензинового и электро - в диапазоне 0-80 км/ч - он очень шустрый! Сравнимо с хорошим 2-х литровым седаном среднего класса. И при этом отзывчивый – реакции очень быстрые. 
Мне есть с чем сравнивать. И этот автомобиль определённо рекомендую.",,
573," Prius, 2011 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Гибрид,Все круто и качественно,Абсолютно ничего!
574," Prius, 2009 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Динамика
Расход 
Технологичность",За эти деньги никаких. ,Порвались пыльники на 118 тысячах пробега 
575," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Расход,Динамика,Практически вечная машина
576," Prius, 2012 год ","расход, управляемость, внешний экстерьер, заводится в -35, вместительный багажник, соотношение цена-качество, идеальный городской авто и для поездок на небольшие расстояния (Владивосток-Хабаровск)","низкий клиренс, машина естественно не для покатушек,",передний бампер (расходник)
577," Prius, 2011 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Порадовал расход топлива около 5-6 литров летом в городе, доступные запчасти, большой багажник и просторный салон, отлично держит скорость за городом.","тяжеловат на разгон, низкий, от чего всегда страдает передний бампер, нет обогревов сидений, очень слабая печка, зимой холодно в авто.",серьезный поломок не было.
578," Prius, 2012 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Экономичность,Очень низкий для дорожных условий России,Нет
579," Prius, 2012 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Расход топлива !,Пластиковая приборная панель(торпеда),Ничего!
580," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Очень практичный: безупречная надёжность, внутри сильно больше, чем кажется снаружи. Для своих лет очень технологичный, не зря считается флагманом инженерных разработок Toyota.",Внешность на любителя,Из неполадок - только выходил из строя кислородный датчик. Всё остальное - плановые ТО и расходники
581," Prius, 2010 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Гибрида,Все понравилось,Ходовую часть линьки втулки
582," Prius, 1999 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Крепкий, экономичный","Не всегда можно починить на коленке, нужны знания и оборудование и приходится обращаться к специалистам. ",Просел элемент
583," Prius, 2009 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Самая жирная комплектация. Расход топлива 4/ 100 км,,
584," Prius, 2007 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Не бит,Скорость,Не чего
585," Prius, 2011 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Экономный,Нет,
586," Prius, 2005 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Экономичность,,
587," Prius, 2009 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Максимально экономичный, рентабельный и недорогой в обслуживании",Не хватает динамики и шумоизоляции,
588," Prius, 2009 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Экономичный , можно ездить в Сибири , комфортно и без забот )",низкий клиренс,"если не насиловать , то их нет ."
589," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод ",,Задний ход только на электротяге. Зимой в горку задом не заедите !,В плане надежности один из лучших и крепких японских автомобилей!
590," Prius, 2007 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Малый расход и высокая надежность, за 8 лет менял только ступицы ну и конечно колодки. Подвеска крепкая, комфортно едет по грунтовке. Зимой в минус 38 заводится и едет... ","Низкий дорожный просвет, легко повредить бампер об высокий бордюр, зимой можно застрять на ""ровном месте"" так как не отключается антибукс.","Ступицы при пробеге 240 тыс. начали шуметь, при замене видно что еще заводские, больше ни чего не ломалась за 274 тыс. км."
591," Prius, 2012 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Экономичный,"Жесткая ходовка, пластмассовый салон, педаль газа плохо реагирует на нажатие",Поломок не было
592," Prius, 2010 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Ходовка не убиваемая, печка жарит хорошо, кондей не очень, мой масло не ел","Шумоизоляция ноль, ",
593," Prius, 2010 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Не дорогое техническое обслуживание, достаточно хорошая шумоизоляция, малый расход топлива, просторная.",,
594," Prius, 2007 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Надежный,низенький,
595," Prius, 2010 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Низкий расход топлива.,Нет,Нет
596," Prius, 2011 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Прочный, надёжный автомобиль. ",,
597," Prius, 2005 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Экономичность, уверенный завод в любой мороз (лично проверял до -38, после трех суток простоя), легко кушает любой бензин (от 92го разумеется), большой, просторный салон, даже самые базовые комплектации - весьма богатые по своему оснащению, низкие налоги, страховки, большой запас надежности (пробег в 300-400 тысяч без капиталки, не является чем-то невероятным).","Низкий клиренс (лечится проставками, но для езды по загородным дорогам такого себе качества, конечно будет недостаточно), почему и пришлось продать в итоге. На больших (от 200-250 т.км.) движок начинает подъедать масло, но такая уж у них конструкция.","229 т.км., замена подрулевого шлейфа (отвечающего за работу кнопок на мультируле), замена помпы инвертора, замена рулевой рейки с сайлентблоками передних рычагов.
Больше автомобиль вложений не требовал."
598," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Экономичен в городе,За городом прожорлив,Ничего
599," Prius, 2011 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Отличная машина.,Не найдено,Нет
600," Prius, 2010 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Экономия денежных средств на бензине, надёжность. ",Пришлось увеличивать клиринс.,Замена габаритных лампочек.
601," Prius, 2009 год, 1800 куб. см., Бензин, Автомат, Передний привод ",,Салон пластиковый стаканчик,Ввб
602," Prius, 2006 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Экономия,надёжность.",,
603," Prius, 2010 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Экономичность по топливу хорошо идет для один 1.8,ПРОБЛЕМ ОСОБЫХ НЕ ВОЗНИКАЛО,Батарея вышла из строя дорого ремонт
604," Prius, 2014 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Хорошая динамика,топить можно на все деньги","Шумоизоляция,на скорости 195 радио плохо слышно",Нет
605," Prius, 2004 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Низкий расход топлива ,Покраска кузова,
606," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Расход 5-7 литров
Динамика 2х литрового авто
Неприхотлив в эксплуатации
Недорогие расходники и ЗЧ
Просторный салон",Головной свет оставляет желать лучшего,Передние амортизаторы 110 000 км
607," Prius, 2007 год, 1500 куб. см., Бензин, Автомат, Передний привод ",заводится в любой мороз,орёт а неедет,
608," Prius, 2009 год, 1800 куб. см., Бензин, Автомат, Передний привод ",,Жесткая подвеска ,
609," Prius, 2010 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Экономичен, надежен, дизайн, удобное управление...легко и быстро можно развернуть и припарковать автомобиль, даже если мало места за счет камеры заднего хода, эргономичного селектора хода. Не смотря на то, что он вполне делает на светофоре многие тачки - прежде чем кого-то уделать  подумайте о стоимости батареи... )))
И еще... режим ECO - это не ""экономичный"", а ЭКОЛОГИЧНЫЙ )) кроме как приблизить момент, когда начнет  кушать масло - ничего больше существенно не дает... ","Когда едешь по ямам дворов мечтаешь об уазике. ..
При этом, если аккуратно ездить... можно днище сохранить в отличном состоянии.","Линки, втулки стаба, 
Прежде чем везти на ремонт рулевой рейки - снимите подушку и убедитесь, что руль на конусе плотно сидит... и не люфтит под гайкой )))"
610," Prius, 2011 год, 1800 куб. см., Бензин, Автомат, Передний привод ","комфорт, экономичный",,
611," Prius, 2010 год, 1500 куб. см., Бензин, Автомат, Передний привод ","10 февраля 2019 года разместил объявление о продаже авто при этом заплатил 310 рублей, через день модераторы заблокирокировали моё объявление, после долгой переписки все таки разблокировали и вернули объявление, но это было уже 19 февраля. К этому времени уже продал свой автомобиль через другой сайт! 
И сейчас мне приходит сообщение поздравляем с продажей вашего автомобиля! Оставьте отзыв! 
Да что бы ваш сайт загнулся от такой работы!!! Люди не пользуйтесь данным сайтом! Эти моральные уроды уже совсем обнаглели!!! Размещайте объявления на других сайтах пусть сидят дальше и думают, как улучшить свой сервис!","10 февраля 2019 года разместил объявление о продаже авто при этом заплатил 310 рублей, через день модераторы заблокирокировали моё объявление, после долгой переписки все таки разблокировали и вернули объявление, но это было уже 19 февраля. К этому времени уже продал свой автомобиль через другой сайт! 
И сейчас мне приходит сообщение поздравляем с продажей вашего автомобиля! Оставьте отзыв! 
Да что бы ваш сайт загнулся от такой работы!!! Люди не пользуйтесь данным сайтом! Эти моральные уроды уже совсем обнаглели!!! Размещайте объявления на других сайтах пусть сидят дальше и думают, как улучшить свой сервис!","10 февраля 2019 года разместил объявление о продаже авто при этом заплатил 310 рублей, через день модераторы заблокирокировали моё объявление, после долгой переписки все таки разблокировали и вернули объявление, но это было уже 19 февраля. К этому времени уже продал свой автомобиль через другой сайт! 
И сейчас мне приходит сообщение поздравляем с продажей вашего автомобиля! Оставьте отзыв! 
Да что бы ваш сайт загнулся от такой работы!!! Люди не пользуйтесь данным сайтом! Эти моральные уроды уже совсем обнаглели!!! Размещайте объявления на других сайтах пусть сидят дальше и думают, как улучшить свой сервис!"
612," Prius, 1999 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Маленький  расход топлива,  не дорогие запчасти.",,
613," Prius, 2012 год, Бензин, Автомат, Передний привод ",Очень понравился,,Замена линек
614," Prius, 2006 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Экономичность и надежность,Шумоизоляция и клиренс,Масло меняй и все будет окей
615," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Удобный , экономичный авто. Кто хоть раз ездил на приусе, остаётся верным ему навсегда).  Меняя Приус на более свежую модель.",Слегка трудно высоким людям на втором сиденьем ехать. Головой упираются в потолок,Не было поломок
616," Prius, 2011 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Низкий расход, современный вид, хорошая ходовка, отличная штатная музыка",Чуть низковата,Поломок не было
617," Prius, 2010 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Отличный авто!,Шумоизоляция,Их не было
618," Prius, 2011 год, 1800 куб. см., Бензин, Автомат, Передний привод ","динамичный, стремительный, экономичный","низкая посадка, неудобство спинки заднего сиденья, тряпичная обшивка дверей и потолка, при дожде при открытых дверях вода попадает на сиденья и в багажник, не правильное соотношение спинок заднего сиденья при складывании",поломок не было
619," Prius, 2012 год, 1800 куб. см., Бензин, Автомат, Передний привод ","экономичность,комфортны,красивый ,надежный.","слабовата шумка,пластик поскрипывает.",на 147000 поменял втулки стабилизатора и наконечники рулевой рейки.
620," Prius, 2002 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Маленький расход топлива и бюджетность в обслуживании.,Внешний вид,"Ничего критичного, только расходники в соответствии с пробегом."
621," Prius, 2010 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Экономный,Дешевый пластик в салоне,
622," Prius, 2013 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Надежный и экономный автомобиль,Не выявлено,Не случались
623," Prius, 2000 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Очень экономичная машина.Едет хорошо резво. Мягкая ходовка. ,,
624," Prius, 2012 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Расход и гибрид,Маленький для семьи из трех человек,Небыло
625," Prius, 2010 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Экономичный, недорогой в обслуживании","Низкий, шумка ни какая, болше нет",Не было
626," Prius, 2013 год, 1800 куб. см., Бензин, Автомат, Передний привод ","экономичный и динамичный, низкий налог , низкие расходы на эксплатацию",жестковата подвеска,до 67000 км так и не было поломок
627," Prius, 2007 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Отзыв очень объективный сравниваю с кучей других авто.
Экономичный, но не совсем. Возможно у меня был не в идеале, но расход в городе с печкой был наверное литров 8-11 зимой. Но по сравнению с другими предыдущими авто расход был очень небольшим. 
К плюсам можно отнести надежную и достаточно мягкую подвеску. 
Плюс размер салона, не то, что бы прям сильно много места, но не тесно.
Однозначный плюс динамика, она сравнима с 1.8-2 литровыми авто. Вариатор работает очень плавно и при правильной эксплуатации очень надежен.
Двигатель(двс) достаточно надежен, прост и контрактный стоит от 30тр.","Минусов весьма много. 
Плохую обзорность заднего окна я к минусам не отношу.
громкую работу двигателя и вибрации при запуске двс. и плохую шумоизоляцию, что простительно для данного класса авто. 
Еще для меня минус балка, сказывается на управляемости.
 Так же машину несколько раз выкидывало из колеи и разворачивало на 360 градусов, это при скорости в 30кмч. У меня не было ни одной машины столь же неустойчивой в колее.
Так же слабая печка и запотевания окна, это не из за того, что у меня забита печка это у всех лобовик ужасно потеет, печка слабовата.
Кузов подвержен коррозии весьма сильно.
И еще минусы. Клириенс. Вопрос можно решить проставками, но без проставок будете везде чиркать днищем однозначно.
Минусы- сложновато продавать, 2019 год на дворе, люди боятся гибридов и не знают, что это, как он работает.
Минус при отрубании электрической системы, а у меня такое было невозможно включить нейтралку, колеса намертво заблокированы!
Минус только для города! за городом не починить.","Поломки были связанны только с пробегом, плохим обслуживанием предыдущими владельцами.
Вывод: Все минусы очень объективны. По комплектующим, агрегатам это одна из самых надежных тойот, но из за совокупности огромного кол-ва электроники, необходимости проф обслуживания ее стоит покупать только в отс и только для городской эксплуатации. 
За ее деньги полно конкурентов несомненно уступающих ей в расходе топлива, размерах салона, комфорту итд, но по надежности значительно ее опережающих."
628," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Экономичный,Нет,Выход помпы инвертора
629," Prius, 1998 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Лень.
Экономичный.
Вместительный.
Плавный",Ломается,"Гидромуфта
Батарея"
630," Prius, 2012 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Экономичный летом. В основном расход 5.5 литров на 100 км.,Пластмассовый салон. Трещит.,Пыльники передних стоек. Болезнь. Приехал уже с Японии. Пробег 128.
631," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Запуск в любой мороз, без всяких прогревов","Не отключается антибукс, авс тупенькая, долго думает",
632," Prius, 1998 год, Бензин, Автомат, Передний привод ",Мало ест бензина,Батарея нуждается во внимании.,Показывает ошибку.
633," Prius, 2011 год, 1500 куб. см., Бензин, Автомат, Передний привод ",дополнительное оборудование двс. чистый салон. свежая резина. капиталеный двс. пакет сигналки.,возраст. окраска деталей.,под замену свечи. чистка дроссельной заслонки.  
634," Prius, 2011 год, 1800 куб. см., Бензин, Автомат, Передний привод ",мало ест ,шумоизоляция  ,теч прокладки из под натяжителя  цепи 
635," Prius, 2011 год, 1500 куб. см., Бензин, Автомат, Передний привод ","маленький расход, надежность",клиренс маленький,не было 
636," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Супер надежность, вместительный салон.","Устаревший внешний вид, багажник маловат.","На 11-й год от рождения машины😆 начала моросить ксеноновая лампа, при пробеге за 200 т.км начал под""едать масло! И все!!!!!!!!!"
637," Prius, 2011 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Экономичный,,
638," Prius, 2010 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Расход, комплектация, запуск в любой мороз и много плюсов.",Немного низкий.,"ничего, кроме исходников. А да один раз поменял линьки."
639," Prius, 2012 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Расход, надёжность",Цена,Отсутсвтует
640," Prius, 2012 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Плюсов масса: экономичный, быстрый, красивый, комфортный и т.д. ",Скрипит салон,Все исправно. Только замена масла
641," Prius, 2010 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Прежде это экономичность, динамика авто достаточно хорошая..удобный салон...",Их нет.,"За 60 тыс..пробега поменял втулки стабилизаторов,  линьки и передние колодки..и своевременное замена тех.жидкостей ..и  все! , что порадовала это крепкая подвеска.."
642," Prius, 2010 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Экономичный, доступные и недорогие запчасти",Скрипучий пластик,Пробег более 200000 но Машина не подводила и не ломалась
643," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Экономия,"Двигатель, ходовая слабые",
644," Prius, 2005 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Экономичность , вместительность , динамичен в городской среде !!",Их нет!!,
645," Prius, 2006 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Экономия,,
646," Prius, 2011 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Экономия топлива, динамика, внешний вид, как универсал большой багажник, заводится в любой мороз.",Низкий клиренс.,Неисправностей не было.
647," Prius, 2012 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Надежный, экономичный",Панель подскрипывает.,
648," Prius, 2011 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Очень надёжный,  экономичный и красивый автомобиль.",Нет,Нет
649," Prius, 2010 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Здравствуйте хотел бы немного написать про свою красавицу Тойота - Приус 2010 г.в. в 30 кузове. Владел моей красавицей примерно 5 месяцев, за этот короткий промежуток понял, что это машина для меня и в прочем самая экономичная машина в своем классе. Продал потому, что хочу купить такую же но по свежее.  ","Недостатки: При использовании данной автомашины почистит только клапан ЕГР и то сам ничего не платил никому, купил только очищающее средство и все, так как хозяин до меня не чистил, а также мне говорили, что болезнь у Приусов 30, это клапан ЕГР.",Нет
650," Prius, 2012 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Положительные стороны автомобиля:
+ Едет резво, очень хорошая динамика езды!
+ Маленький расход топлива!
+ Запуск (без`проблемный) в сильный мороз!
+ Электроусилитель, электрокондиционер (нет напряга на ДВС)!
+ После запуска (в мороз), допускается сразу начинать движение, т.к.
тяга идет от электродвигателя, разрешено заводом изготовителем!
+ Большой объем багажника!
+ Ходовка достаточно комфортная!
+ Маленький налог и страховка!
+ Красивый, эргономичный кузов!",нет!,
651," Prius, 1999 год, 1500 куб. см., Бензин, Автомат, Передний привод ","За счёт загруженного зада батареей, ход машины плавный, мягкий, не чувствуется что малолитражка. ","требования к батарее в этом 10 кузове слишком жесткие, батарея капризна, легко выходит из нормативных параметров, поэтому часто требуется диагностика отдельно бамбуков, что конечно бьет по карману. Подвеска передняя тоже затратная ввиду оригинальности запчастей , зад проще от фильера стойки... Рулевая рейка тоже не идеальна, есть вопросы. Батарея сама расплодожена по всей задней стенке сиденья, чем ограничивает перевозку длиномеров. Все в общем вопросы вроде решены в следующем 20 кузове. ","Тойота есть тойота, но после 15 лет эксплуатации менять практически все приходится. но всё равно удивляешься запасу заложенной прочности"
652," Prius, 2007 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Надежность и экономия,Нет,Подвеска расходники
653," Prius, 2007 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Расход,Сиденье водителя,Помпа инвертора
654," Prius, 2011 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Экономия,Скучноватый) ничего ему не надо),Колодки аккумулятор
655," Prius, 2011 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Гибрид. Расход. Внешний вид. Салон. Управляемость.,Нет!,Ничего серьёзного не ломалось. При правильном использовании будет служить верой и правдой до конца своих лет.
656," Prius, 2009 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Расход ГСМ,Низкий клиренс,Не замечено
657," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Очень неприхотливый и надежный автомобиль. Могу только подчеркнуть его экономичность. Прост в обслуживании.,Отсутствие хоть какой-либо шумоизоляции. Маленький моторесурс ДВС. ,За время эксплуатации данной модели автомобиля не было замечено неисправностей.
